"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.090113400E-2	-3.119351864E-1	3.144264221E-2	-2.005634308E-1	3.721799162E-1
1.888523500E-2	-5.207359791E-1	4.196643829E-3	-4.510974884E-2	5.227030334E-1
2.686757900E-2	-7.269430161E-1	-3.689384460E-2	1.890635490E-1	7.520321336E-1
3.485207100E-2	-8.320450783E-1	-5.616712570E-2	3.323569298E-1	8.977276241E-1
4.283605600E-2	-7.023563385E-1	-1.494231224E-1	3.582711220E-1	8.024898084E-1
5.082168100E-2	-3.235247135E-1	-5.009536743E-1	2.356152534E-1	6.411999468E-1
5.880023500E-2	2.674889565E-2	-1.029111862E0	1.916017532E-1	1.047137985E0
6.677976700E-2	1.878159046E-1	-1.013232708E0	3.386416435E-1	1.084708946E0
7.476207100E-2	2.660019398E-1	-8.233203888E-1	4.831976891E-1	9.910063074E-1
8.274484500E-2	4.578611851E-1	-4.465861320E-1	6.021690369E-1	8.784552277E-1
9.072800900E-2	5.165889263E-1	-2.141900063E-1	7.369432449E-1	9.251090875E-1
9.871082100E-2	5.458405018E-1	-2.122049332E-1	7.321333885E-1	9.375457779E-1
1.066947670E-1	2.510085106E-1	-5.874347687E-1	7.213106155E-1	9.635216053E-1
1.146771880E-1	1.833815575E-1	-8.648223877E-1	7.876210213E-1	1.184015807E0
1.226606650E-1	8.127846718E-1	-5.285201073E-1	8.118147850E-1	1.264514006E0
1.306417590E-1	1.149385571E0	-1.259131432E-1	6.985907555E-1	1.350914637E0
1.386228130E-1	1.405620217E0	1.272449493E-1	4.193434715E-1	1.472347927E0
1.466010170E-1	1.347944617E0	1.407074928E-1	6.536722183E-2	1.356844193E0
1.545831650E-1	1.267285943E0	1.452131271E-1	-2.172598839E-1	1.293948365E0
1.625626960E-1	1.204734206E0	1.545805931E-1	-4.301176071E-1	1.288518849E0
1.705447270E-1	1.069039583E0	7.489490509E-2	-4.615378380E-1	1.166821346E0
1.785284380E-1	9.962294102E-1	9.108686447E-2	-4.045872688E-1	1.079101808E0
1.865097270E-1	1.120060682E0	1.905608177E-1	-5.076909065E-1	1.244427344E0
1.944948840E-1	1.213488221E0	4.011836052E-1	-4.512891769E-1	1.355420182E0
2.024785950E-1	1.359720349E0	6.168518066E-1	-3.535389900E-1	1.534384371E0
2.104614460E-1	1.541980505E0	7.423381805E-1	-3.745107651E-1	1.751864197E0
2.184441020E-1	1.616386652E0	7.831025124E-1	-3.408985138E-1	1.828159498E0
2.264225790E-1	1.768001437E0	9.231786728E-1	-2.882003784E-1	2.015228871E0
2.343990630E-1	1.891938686E0	9.288091660E-1	-1.629519463E-1	2.113923319E0
2.423783600E-1	1.996768236E0	8.926901817E-1	-1.196732521E-1	2.190502417E0
2.503559770E-1	2.091712713E0	1.009721756E0	4.166126251E-2	2.323044502E0
2.583366420E-1	2.075970411E0	9.158644676E-1	2.045803070E-1	2.278226059E0
2.663175400E-1	2.131060362E0	6.217460632E-1	2.009224892E-1	2.228980996E0
2.743038680E-1	2.122056961E0	3.379302025E-1	1.540164948E-1	2.154308160E0
2.822896880E-1	1.962895751E0	1.763296127E-1	-1.614308357E-1	1.977400257E0
2.902719930E-1	1.538122416E0	4.940094948E-1	-2.247042656E-1	1.631060377E0
2.982565240E-1	7.914900780E-1	1.115426064E0	-3.994159698E-1	1.424838575E0
3.062424230E-1	1.113517046E0	9.016942978E-1	6.523046494E-1	1.574317050E0
3.142264850E-1	-3.973202705E-1	2.652821541E-1	1.640388012E0	1.708540561E0
3.222065240E-1	-1.309081554E0	-9.060335159E-2	1.729879856E0	2.171264102E0
3.301869930E-1	-1.878580570E0	-2.967815399E-1	1.501484871E0	2.423138679E0
3.381699230E-1	-2.084586382E0	-1.508340836E-1	1.285625458E0	2.453789747E0
3.461514070E-1	-2.169233561E0	4.709920883E-1	7.659530640E-1	2.348210358E0
3.541341810E-1	-1.683300495E0	7.242188454E-1	1.320023537E-1	1.837231100E0
3.621134770E-1	-8.626461029E-1	8.121986389E-1	-5.475325584E-1	1.305226735E0
3.700935170E-1	-6.927108765E-2	6.335120201E-1	-1.138711929E0	1.304914105E0
3.780766420E-1	5.189129114E-1	1.916208267E-1	-1.450430393E0	1.552332914E0
3.860601960E-1	1.024316788E0	-3.003687859E-1	-1.732769966E0	2.035175188E0
3.940416020E-1	1.491523981E0	-5.843648911E-1	-1.884020329E0	2.472985789E0
4.020208600E-1	1.829792500E0	-4.076642990E-1	-2.017693520E0	2.754163741E0
4.100010950E-1	2.109256506E0	-7.562541962E-2	-2.109375954E0	2.983982092E0
4.179798060E-1	2.213673592E0	1.187648773E-1	-2.115766525E0	3.064461430E0
4.259607040E-1	2.157380342E0	1.286911964E-1	-2.005311966E0	2.948241416E0
4.339388680E-1	1.921088696E0	1.147603989E-2	-1.768030643E0	2.610870704E0
4.419195710E-1	1.578084707E0	-1.633429527E-1	-1.386829376E0	2.107208576E0
4.498977350E-1	1.032732606E0	-3.509531021E-1	-9.915876389E-1	1.474093199E0
4.578760950E-1	-3.656334877E-1	-8.471598625E-1	2.368450165E-1	9.526086509E-1
4.658564070E-1	-9.422957897E-1	-6.628384590E-1	2.114562035E0	2.408038367E0
4.738368760E-1	-5.621893406E-1	-1.720414162E-1	1.828128338E0	1.920340679E0
4.818184380E-1	-4.815340042E-1	-5.962891579E-1	2.694042683E0	2.800946578E0
4.897950790E-1	4.645692110E-1	-1.860203743E-1	2.379067898E0	2.431129818E0
4.977750010E-1	1.178378224E0	-4.076771736E-1	2.366722584E0	2.675098448E0
5.057553130E-1	1.746495008E0	-7.028994560E-1	2.216913223E0	2.908438877E0
5.137373060E-1	2.079899311E0	-1.125226021E0	2.083714962E0	3.151822137E0
5.217164070E-1	2.397754192E0	-1.387350559E0	2.058898449E0	3.451525686E0
5.296960560E-1	2.697233915E0	-1.273819447E0	2.233883381E0	3.726650203E0
5.376739460E-1	2.884999275E0	-1.018803596E0	2.574630260E0	3.998737621E0
5.456564460E-1	2.985810280E0	-8.324155807E-1	2.898998737E0	4.244074976E0
5.536374620E-1	2.925262451E0	-6.820206642E-1	3.210280418E0	4.396386352E0
5.616182040E-1	2.762351036E0	-5.212612152E-1	3.439953804E0	4.442474387E0
5.696012900E-1	2.311139345E0	-4.942750931E-2	3.295365810E0	4.025325325E0
5.775820710E-1	1.634115696E0	4.719619751E-1	2.584537983E0	3.094013381E0
5.855657430E-1	9.765436649E-1	7.003207207E-1	1.874605179E0	2.226708606E0
5.935499230E-1	3.808865547E-1	9.955210686E-1	1.235863209E0	1.632021641E0
6.015347270E-1	-1.140191555E-1	1.323197842E0	6.365370750E-1	1.472763506E0
6.095232040E-1	-4.505770206E-1	1.432478428E0	6.559038162E-2	1.503102191E0
6.175107430E-1	-6.037869453E-1	1.374563694E0	-2.199835777E-1	1.517358494E0
6.254964070E-1	-5.567059517E-1	1.297183037E0	-2.765755653E-1	1.438436440E0
6.334827740E-1	-3.691742420E-1	1.173898697E0	-1.833071709E-1	1.244158065E0
6.414672670E-1	-1.150538921E-1	9.226622581E-1	-1.512002945E-2	9.299309953E-1
6.494534380E-1	1.019382477E-1	6.390991211E-1	1.051063538E-1	6.556572569E-1
6.574369150E-1	3.629076481E-1	4.140644073E-1	-1.950836182E-2	5.509372656E-1
6.654244930E-1	4.893770218E-1	2.485513687E-1	-5.792980194E-1	7.980312322E-1
6.734112120E-1	4.792127609E-1	2.439937592E-1	-1.281196594E0	1.389475634E0
6.813929310E-1	3.503763676E-1	2.882919312E-1	-1.870490789E0	1.924736769E0
6.893765240E-1	-6.732439995E-2	3.398990631E-1	-2.414146423E0	2.438886406E0
6.973621880E-1	-3.922255039E-1	4.239921570E-1	-2.629814625E0	2.692496083E0
7.053448450E-1	-7.262861729E-1	4.628620148E-1	-2.448445320E0	2.595499439E0
7.133262510E-1	-9.825596809E-1	3.926677704E-1	-2.250475407E0	2.486815446E0
7.213057430E-1	-9.687359333E-1	2.404785156E-2	-2.004567146E0	2.226503324E0
7.292869930E-1	-7.711932659E-1	-2.993288040E-1	-1.752402067E0	1.937846689E0
7.372666020E-1	-3.807852268E-1	-4.947099686E-1	-1.478166103E0	1.604590406E0
7.452458210E-1	6.006956100E-3	-5.780644417E-1	-1.228913307E0	1.358095173E0
7.532226960E-1	3.410000801E-1	-4.313368797E-1	-1.003324032E0	1.144111739E0
7.611998450E-1	3.586320877E-1	-5.001649857E-1	-6.180202961E-1	8.721989874E-1
7.691793370E-1	-1.874442101E-1	-9.602284431E-1	-3.236095905E-1	1.030483946E0
7.771585560E-1	-8.821396828E-1	-1.231866837E0	2.282381058E-2	1.515317541E0
7.851424230E-1	-1.480589628E0	-1.411425114E0	4.092612267E-1	2.086087546E0
7.931234380E-1	-1.835690975E0	-1.395974636E0	9.444937706E-1	2.492102531E0
8.011021880E-1	-1.686970711E0	-1.245948792E0	1.470851898E0	2.561574492E0
8.090810950E-1	-1.029393911E0	-1.139532566E0	1.891623497E0	2.436478144E0
8.170598450E-1	-4.842758179E-3	-1.069081306E0	1.932479382E0	2.208491533E0
8.250376960E-1	1.242046595E0	-8.689007759E-1	1.717257977E0	2.290555230E0
8.330200790E-1	2.203465939E0	-5.245509148E-1	1.471314430E0	2.700959451E0
8.409992980E-1	3.277585030E0	2.935695648E-2	1.233276844E0	3.502056143E0
8.489788680E-1	3.989998817E0	4.635057449E-1	1.045822620E0	4.150743679E0
8.569622670E-1	4.372517586E0	3.917493820E-1	8.505616188E-1	4.471670011E0
8.649475010E-1	3.939806938E0	3.009901047E-1	9.026002884E-1	4.053068101E0
8.729298840E-1	3.560166836E0	2.022628784E-1	1.296658516E0	3.794340717E0
8.809114070E-1	2.882261276E0	-5.768280029E-1	1.456506252E0	3.280483360E0
8.888947670E-1	2.524004221E0	-1.083628178E0	1.184528828E0	2.991313404E0
8.968761340E-1	2.641247034E0	-8.704710007E-1	7.171845436E-1	2.871978295E0
9.048566810E-1	2.148389339E0	-6.296753883E-1	2.472505569E-1	2.252376675E0
9.128378520E-1	1.683792114E0	-4.947752953E-1	-1.645154953E-1	1.762675190E0
9.208216810E-1	8.918998241E-1	-3.544454575E-1	-3.478603363E-1	1.020844597E0
9.288032820E-1	2.225795984E-1	-4.626121521E-1	-3.481512070E-1	6.202910154E-1
9.367865630E-1	-1.308648586E-1	-6.944198608E-1	-1.594085693E-1	7.244001976E-1
9.447690240E-1	-1.996130943E-1	-9.246826172E-1	1.381902695E-1	9.560229498E-1
9.527473450E-1	4.408431053E-2	-8.570032120E-1	2.560029030E-1	8.955084690E-1
9.607271490E-1	2.589516640E-1	-8.541736603E-1	3.590059280E-1	9.620570994E-1
9.687098060E-1	1.741027832E-1	-9.780564308E-1	5.011463165E-1	1.112678656E0
9.766884770E-1	4.215314388E-1	-1.189163685E0	5.411863327E-1	1.372837088E0
9.846644930E-1	5.805687904E-1	-1.103814125E0	3.908944130E-1	1.307005809E0
9.926413290E-1	7.543175817E-1	-1.239189625E0	6.831693649E-2	1.452326803E0
1.000618321E0	6.355156302E-1	-1.255998135E0	-3.343639374E-1	1.446793238E0
1.008595235E0	3.686705828E-1	-1.205783844E0	-7.524619102E-1	1.468343149E0
1.016572774E0	1.486498117E-1	-1.235049248E0	-1.126100779E0	1.677958991E0
1.024548556E0	-2.928388119E-2	-1.276822567E0	-1.629799604E0	2.070598987E0
1.032522970E0	-1.907093525E-1	-1.195919514E0	-1.813455582E0	2.180645475E0
1.040500079E0	-4.868053198E-1	-1.030112267E0	-1.846037626E0	2.169323770E0
1.048476563E0	-7.552835941E-1	-9.720320702E-1	-1.560593367E0	1.987649695E0
1.056450860E0	-8.167510033E-1	-1.051652908E0	-1.174282551E0	1.775386028E0
1.064425392E0	-6.971925497E-1	-1.244812489E0	-8.055348396E-1	1.638451086E0
1.072400548E0	-3.996644616E-1	-1.338126183E0	-6.365034580E-1	1.534747541E0
1.080376095E0	-6.557458639E-2	-1.279914856E0	-7.025129795E-1	1.461508314E0
1.088355938E0	1.798287034E-1	-1.120392323E0	-9.282646179E-1	1.466046561E0
1.096331329E0	4.404822290E-1	-9.161305428E-1	-1.252427340E0	1.613038749E0
1.104309024E0	6.373138428E-1	-5.891427994E-1	-1.514366150E0	1.745440634E0
1.112287462E0	7.058628201E-1	5.051040649E-2	-1.583811760E0	1.734719952E0
1.120265040E0	9.154273272E-1	6.603107452E-1	-1.311853170E0	1.730599957E0
1.128246056E0	1.217809916E0	9.259004593E-1	-7.233176231E-1	1.692200058E0
1.136224376E0	1.592826843E0	1.138339996E0	1.025061607E-1	1.960464948E0
1.144205509E0	1.719596505E0	1.344327927E0	6.293411255E-1	2.271629364E0
1.152185704E0	1.602849126E0	1.983692169E0	1.112005234E0	2.782214151E0
1.160166095E0	1.502935648E0	2.739764214E0	1.334033489E0	3.397759388E0
1.168141798E0	1.162668467E0	3.738920212E0	1.468672752E0	4.181904108E0
1.176122227E0	8.539037704E-1	4.934138298E0	1.731217384E0	5.298300296E0
1.184103673E0	9.553887844E-1	5.702615738E0	1.774637222E0	6.048299865E0
1.192085938E0	9.281021357E-1	6.672878265E0	2.320408344E0	7.125515617E0
1.200068243E0	1.291964054E0	7.180800438E0	2.843554020E0	7.830636341E0
1.208050587E0	1.908772826E0	7.462804794E0	3.345124722E0	8.398019320E0
1.216032931E0	2.276356220E0	8.214378357E0	4.287826061E0	9.541659277E0
1.224016407E0	2.788990498E0	8.625935555E0	5.447483540E0	1.057640341E1
1.231997618E0	3.058664560E0	8.959315300E0	6.352150917E0	1.140063949E1
1.239978204E0	3.241780281E0	9.186996460E0	6.970823765E0	1.197924986E1
1.247959767E0	3.566465616E0	9.664269447E0	8.053198814E0	1.307561823E1
1.255940938E0	3.833463669E0	9.322987556E0	8.980366707E0	1.350038988E1
1.263921602E0	4.229056835E0	8.557055473E0	9.521713257E0	1.348225291E1
1.271901173E0	4.733554840E0	7.438158035E0	1.002850151E1	1.335303632E1
1.279883321E0	4.637321949E0	6.354851723E0	1.017986584E1	1.286540181E1
1.287863438E0	4.475872040E0	4.937745094E0	9.839994431E0	1.188445403E1
1.295844884E0	4.032822609E0	3.434247017E0	9.269700050E0	1.067637812E1
1.303825079E0	3.442419052E0	1.618728638E0	8.534336090E0	9.343737145E0
1.311809493E0	2.672760010E0	-4.455251694E-1	7.575309753E0	8.045337569E0
1.319793399E0	1.790660858E0	-2.423839092E0	6.437685490E0	7.108112036E0
1.327774337E0	9.789106250E-1	-3.914372921E0	5.438199043E0	6.771601746E0
1.335752618E0	2.007721663E-1	-5.610095978E0	4.261614799E0	7.048038524E0
1.343731524E0	-3.111815453E-2	-7.587201118E0	3.164724112E0	8.220831336E0
1.351710821E0	2.009963393E-1	-9.906183243E0	2.145710230E0	1.013789615E1
1.359690509E0	5.603028536E-1	-1.239869690E1	1.095902085E0	1.245963986E1
1.367670274E0	7.615606785E-1	-1.446710777E1	1.012271643E-1	1.448749215E1
1.375648907E0	9.136399031E-1	-1.649268341E1	-1.258906245E0	1.656587423E1
1.383627657E0	1.093956232E0	-1.822486496E1	-2.690406561E0	1.845482946E1
1.391605431E0	1.097623110E0	-1.966159439E1	-4.091407776E0	2.011274939E1
1.399582345E0	6.808820963E-1	-2.065824127E1	-5.385248184E0	2.135948105E1
1.407561563E0	2.459755838E-1	-2.123171425E1	-6.481341839E0	2.220031500E1
1.415539923E0	3.320172429E-2	-2.157942581E1	-7.250522137E0	2.276494656E1
1.423518087E0	-1.577018201E-1	-2.151627731E1	-7.873471737E0	2.291214997E1
1.431497188E0	-2.097873986E-1	-2.113733292E1	-7.884469986E0	2.256093350E1
1.439476407E0	-1.681171060E-1	-2.049338913E1	-7.111702919E0	2.169293848E1
1.447455274E0	3.384482861E-2	-1.981746674E1	-5.878324509E0	2.067094174E1
1.455433985E0	2.278365493E-1	-1.915848541E1	-4.680963516E0	1.972335905E1
1.463412267E0	6.141108274E-2	-1.824602127E1	-3.961988926E0	1.867132614E1
1.471389727E0	-4.126904607E-1	-1.667755127E1	-3.563047171E0	1.705890779E1
1.479369376E0	-9.483852386E-1	-1.497646332E1	-3.743618727E0	1.546636897E1
1.487352345E0	-1.555052876E0	-1.298576450E1	-4.181556702E0	1.373075692E1
1.495329884E0	-2.292812824E0	-1.027764702E1	-4.397231102E0	1.141151437E1
1.503308907E0	-2.708872080E0	-7.512949944E0	-3.922447205E0	8.897639961E0
1.511285118E0	-2.815353394E0	-4.029303551E0	-2.240667343E0	5.402045166E0
1.519262774E0	-2.634505272E0	-5.755252838E-1	5.199897289E-1	2.746313292E0
1.527241017E0	-2.201149464E0	2.709261894E0	4.168306351E0	5.436905076E0
1.535219767E0	-1.525682807E0	5.656671524E0	8.052534103E0	9.958360620E0
1.543195743E0	-9.422264695E-1	8.340270042E0	1.175732803E1	1.444585261E1
1.551174806E0	-6.321507692E-1	1.051445293E1	1.402026081E1	1.753627806E1
1.559154063E0	-7.478504777E-1	1.353023529E1	1.518633175E1	2.035316239E1
1.567138126E0	-8.030526042E-1	1.640173340E1	1.489806843E1	2.217237459E1
1.575117892E0	-1.020381927E0	1.896514893E1	1.326219273E1	2.316471042E1
1.583096837E0	-1.192389727E0	2.062642670E1	1.082407475E1	2.332449068E1
1.591076876E0	-1.413881063E0	2.175850677E1	8.838691711E0	2.352773147E1
1.599057462E0	-1.471620440E0	2.254346085E1	7.288907051E0	2.373818569E1
1.607038399E0	-1.301256657E0	2.260485077E1	6.638415337E0	2.359536195E1
1.615019493E0	-1.087314963E0	2.219839478E1	6.716281891E0	2.321765335E1
1.623002501E0	-9.547043443E-1	2.139357758E1	7.206018925E0	2.259476334E1
1.630982852E0	-7.984572053E-1	2.012181854E1	7.852710724E0	2.161458260E1
1.638962306E0	-5.468259454E-1	1.860917664E1	8.351408958E0	2.040457070E1
1.646943165E0	-5.831468105E-2	1.641744614E1	8.504436493E0	1.848949373E1
1.654920665E0	4.210016131E-1	1.479599571E1	8.509248734E0	1.707354812E1
1.662903321E0	1.068780422E0	1.320523357E1	8.609461784E0	1.580010499E1
1.670885118E0	1.714842319E0	1.104542828E1	8.722486496E0	1.417829118E1
1.678867345E0	2.069536448E0	8.768020630E0	8.515445709E0	1.239653107E1
1.686850079E0	2.088626385E0	6.966099739E0	7.962062836E0	1.078347580E1
1.694832032E0	1.867500305E0	5.013112068E0	6.926953793E0	8.752230507E0
1.702816329E0	1.506647348E0	2.986940384E0	5.700896263E0	6.609993744E0
1.710800157E0	1.047251701E0	9.825115204E-1	4.404120445E0	4.632314962E0
1.718780509E0	5.456564426E-1	-9.107875824E-1	3.053595304E0	3.232911885E0
1.726759454E0	2.639706731E-1	-2.386544704E0	1.947865605E0	3.091837085E0
1.734736954E0	1.231422424E-1	-3.924651623E0	7.646495104E-1	4.000342891E0
1.742713087E0	7.983270288E-2	-5.395817757E0	-2.447910309E-1	5.401957532E0
1.750687071E0	1.656340659E-1	-6.869868755E0	-1.060683250E0	6.953242432E0
1.758662227E0	3.523698449E-1	-8.352956772E0	-1.679955244E0	8.527502622E0
1.766640899E0	7.316638827E-1	-9.813699722E0	-1.934020162E0	1.002918084E1
1.774621602E0	1.117106199E0	-1.112006664E1	-1.760558486E0	1.131385763E1
1.782598790E0	1.457380176E0	-1.278410625E1	-1.433158159E0	1.294647720E1
1.790575938E0	1.631891966E0	-1.429752159E1	-1.118267536E0	1.443373539E1
1.798554649E0	1.680468559E0	-1.533798885E1	-9.126691818E-1	1.545674098E1
1.806535040E0	1.741308689E0	-1.603779411E1	-8.839893341E-1	1.615625059E1
1.814518360E0	1.731470108E0	-1.655296135E1	-9.739137888E-1	1.667174335E1
1.822496524E0	1.640864372E0	-1.692450333E1	-1.132967472E0	1.704156284E1
1.830475040E0	1.384353042E0	-1.736311722E1	-1.393688560E0	1.747388453E1
1.838455899E0	1.129189253E0	-1.769985390E1	-1.720826387E0	1.781912287E1
1.846439337E0	1.030701876E0	-1.778968048E1	-1.981375694E0	1.792933149E1
1.854419727E0	1.083489895E0	-1.778678894E1	-2.204445601E0	1.795559499E1
1.862403282E0	1.181646943E0	-1.773966599E1	-2.351389885E0	1.793379695E1
1.870383048E0	1.059954524E0	-1.730412483E1	-2.490441322E0	1.751452362E1
1.878361368E0	7.140650749E-1	-1.648737335E1	-2.513071537E0	1.669307933E1
1.886338556E0	3.233972788E-1	-1.540397263E1	-2.316938400E0	1.558060211E1
1.894314806E0	1.283966899E-1	-1.446967697E1	-1.984144211E0	1.460564499E1
1.902293126E0	1.488952637E-1	-1.374067116E1	-1.673122048E0	1.384296034E1
1.910271642E0	2.832995057E-1	-1.306253910E1	-1.452282071E0	1.314607582E1
1.918252579E0	4.893348515E-1	-1.207942486E1	-1.190901756E0	1.214784757E1
1.926235196E0	5.714327097E-1	-1.065215111E1	-7.903443575E-1	1.069670523E1
1.934213399E0	6.355262995E-1	-9.095600128E0	-3.552928269E-1	9.124695522E0
1.942191837E0	5.767840147E-1	-7.662346840E0	1.419281363E-1	7.685335548E0
1.950172501E0	4.974823892E-1	-6.360683441E0	5.007219911E-1	6.399726953E0
1.958154259E0	4.092040658E-1	-4.693804264E0	8.461645842E-1	4.786986624E0
1.966136407E0	1.990258098E-1	-2.768013954E0	1.224285364E0	3.033214001E0
1.974120743E0	-8.539283276E-2	-3.064098358E-1	1.888356805E0	1.914959620E0
1.982103595E0	-1.707983017E-1	2.163213730E0	2.701257706E0	3.464889449E0
1.990086485E0	-1.689162850E-1	4.598196030E0	3.620214224E0	5.854732314E0
1.998069884E0	-4.561220407E-1	7.115469933E0	4.547053814E0	8.456574842E0
2.006052071E0	-1.106305122E0	1.031475449E1	5.799285889E0	1.188485540E1
2.014036329E0	-1.832064390E0	1.335577297E1	7.047697067E0	1.521194154E1
2.022016212E0	-2.501759052E0	1.599504471E1	7.785004139E0	1.796403471E1
2.030000587E0	-2.890591145E0	1.842303848E1	7.631652832E0	2.014959029E1
2.037985704E0	-3.080664158E0	2.049332809E1	6.873291016E0	2.183366935E1
2.045970235E0	-3.063084841E0	2.163975525E1	6.175872803E0	2.271129457E1
2.053950977E0	-2.913553715E0	2.231218910E1	5.841596603E0	2.324751231E1
2.061932970E0	-2.574148893E0	2.267385483E1	6.260396957E0	2.366268170E1
2.069914102E0	-2.034234524E0	2.279551315E1	7.311986923E0	2.402579203E1
2.077896446E0	-1.282329440E0	2.241479301E1	8.895013809E0	2.414929782E1
2.085875860E0	-4.557142258E-1	2.126573372E1	1.040451241E1	2.367895657E1
2.093856017E0	4.656205177E-1	1.975447083E1	1.188676262E1	2.305972779E1
2.101839962E0	1.108825684E0	1.790672684E1	1.290092659E1	2.209783400E1
2.109822188E0	1.507663012E0	1.579842472E1	1.318958092E1	2.063560797E1
2.117805235E0	1.541930199E0	1.369831085E1	1.271565247E1	1.875390857E1
2.125784415E0	1.266503811E0	1.169536591E1	1.153363705E1	1.647453790E1
2.133765509E0	8.894802928E-1	1.000012112E1	1.018441010E1	1.430090230E1
2.141748517E0	4.394275248E-1	7.966996193E0	8.632534981E0	1.175528754E1
2.149727696E0	1.065636277E-1	5.807147980E0	7.401177883E0	9.408068746E0
2.157708360E0	-9.078747034E-2	3.517099380E0	6.455376625E0	7.351878521E0
2.165689102E0	-1.193411946E-1	1.244928360E0	5.539227486E0	5.678655658E0
2.173669337E0	-2.150514126E-1	-9.076061249E-1	4.452560425E0	4.549207659E0
2.181650743E0	-3.623082638E-1	-2.589793205E0	3.358108997E0	4.256194563E0
2.189630509E0	-5.037628412E-1	-4.358369827E0	1.977530241E0	4.812461990E0
2.197609727E0	-5.582691431E-1	-6.059933662E0	6.803170443E-1	6.123503222E0
2.205589024E0	-5.698535442E-1	-7.558588028E0	-4.237866402E-1	7.591875997E0
2.213567970E0	-3.186236024E-1	-8.875218391E0	-1.164345264E0	8.956937110E0
2.221545977E0	3.398024440E-1	-9.978815079E0	-1.306872368E0	1.006976323E1
2.229522149E0	1.412683964E0	-1.169089985E1	-1.092924714E0	1.182655063E1
2.237498712E0	2.517063379E0	-1.372853374E1	-6.695346832E-1	1.397342204E1
2.245478946E0	3.294379950E0	-1.551789665E1	-3.206429482E-1	1.586697412E1
2.253459649E0	3.674051762E0	-1.677195358E1	-2.438162565E-1	1.717138695E1
2.261440040E0	3.870894432E0	-1.761770630E1	-5.128223896E-1	1.804523166E1
2.269416290E0	3.879888535E0	-1.811513519E1	-9.759409428E-1	1.855166081E1
2.277393477E0	3.548754215E0	-1.849899292E1	-1.692475557E0	1.891218837E1
2.285371954E0	2.867450714E0	-1.860991287E1	-2.437451839E0	1.898663483E1
2.293350626E0	2.109308243E0	-1.856684113E1	-3.074573517E0	1.893752288E1
2.301328751E0	1.508174419E0	-1.859461975E1	-3.604572296E0	1.900072144E1
2.309307970E0	1.008041739E0	-1.856797028E1	-4.130654335E0	1.904856881E1
