"Time (s)"	"Illuminance (lx)"
0.000000000E0	0.000000000E0
6.870307290E-1	1.000000000E0
7.270563540E-1	2.000000000E0
7.670722530E-1	3.000000000E0
9.671763930E-1	2.000000000E0
1.087272253E0	1.000000000E0
1.127303893E0	0.000000000E0
1.567602136E0	1.000000000E0
1.607641081E0	3.200000000E1
1.647666120E0	6.300000000E1
1.687670495E0	9.100000000E1
1.727696276E0	1.210000000E2
1.767717604E0	9.100000000E1
1.807735261E0	9.000000000E1
1.887786511E0	9.100000000E1
2.127939831E0	9.000000000E1
2.167952526E0	9.100000000E1
2.768324597E0	9.200000000E1
2.888406003E0	9.300000000E1
3.088525417E0	9.400000000E1
3.248612761E0	9.300000000E1
3.288641081E0	9.200000000E1
3.368706979E0	9.300000000E1
3.408720378E0	8.900000000E1
3.488755690E0	8.500000000E1
3.568800104E0	8.400000000E1
3.648828620E0	8.600000000E1
3.768836550E0	1.490000000E2
3.808846003E0	2.110000000E2
3.848856511E0	2.740000000E2
3.888855495E0	3.380000000E2
3.928868347E0	2.750000000E2
3.968882800E0	2.760000000E2
4.169019011E0	2.770000000E2
4.209047487E0	2.780000000E2
4.249080690E0	2.790000000E2
4.289119987E0	2.800000000E2
4.369180495E0	2.790000000E2
4.409237214E0	2.780000000E2
4.449282253E0	2.770000000E2
4.489327370E0	2.760000000E2
4.609397214E0	2.750000000E2
4.649429440E0	2.760000000E2
4.689446237E0	2.780000000E2
4.769462058E0	2.790000000E2
4.809470768E0	2.800000000E2
5.009599323E0	2.780000000E2
5.089639870E0	2.760000000E2
5.209706706E0	2.770000000E2
5.249727331E0	2.790000000E2
5.289752839E0	2.800000000E2
5.329769401E0	2.810000000E2
5.369788659E0	3.970000000E2
5.409803347E0	5.130000000E2
5.449819011E0	6.280000000E2
5.489853464E0	7.440000000E2
5.529863268E0	6.280000000E2
5.569887448E0	6.290000000E2
5.609897448E0	6.300000000E2
5.649909714E0	6.310000000E2
5.769934558E0	6.300000000E2
5.849964050E0	6.320000000E2
5.889984245E0	6.330000000E2
5.969997018E0	6.350000000E2
6.010008190E0	6.370000000E2
6.050043503E0	6.390000000E2
6.130076979E0	6.400000000E2
6.170079440E0	6.470000000E2
6.210074440E0	6.550000000E2
6.250076667E0	6.660000000E2
6.290080729E0	6.780000000E2
6.330078190E0	6.710000000E2
6.370074597E0	6.810000000E2
6.410067800E0	6.880000000E2
6.450063620E0	6.950000000E2
6.530067917E0	7.020000000E2
6.570093620E0	7.090000000E2
6.610108347E0	7.100000000E2
6.650134245E0	7.140000000E2
6.690158854E0	7.100000000E2
6.730195143E0	7.090000000E2
6.770219597E0	7.100000000E2
6.810246042E0	7.080000000E2
6.850278972E0	7.070000000E2
6.890315026E0	7.060000000E2
6.930347487E0	7.040000000E2
